NaN,NaN,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker4,Marker4,Marker4,Marker5,Marker5,Marker5,Scale1,Scale1,Scale1,Scale2,Scale2,Scale2,Scale3,Scale3,Scale3,nc-Eyeleft,nc-Eyeleft,nc-Eyeleft,nc-Eyeright,nc-Eyeright,nc-Eyeright,nc-Beak,nc-Beak,nc-Beak
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0,22.5813959664549,-51.9045497655742,-96.2770637774939,-10.0713220100668,-50.537287130938,-93.8860230858218,23.0838864904609,-32.144755354863,-90.7241139189643,-12.3781218177518,-29.7579170305491,-87.4407256515845,1.8807044673565,-12.4244562185965,-85.1041033862288,1.0414762712138,22.6299401194547,-72.8159023013345,18.4686358824435,-1.01207061216729,-78.9273208314791,-10.8016054228398,-3.48554027963608,-80.5520988501711,-18.9289502639121,-15.5000200273655,-100.208092708718,24.7486959079947,-16.5064772897519,-99.1237222546176,2.02132910171375,61.4929546028981,-90.4764769590654
